         functype[154]=LJ_SR, c6= 3.93506663e-04, c12= 2.51798667e-07
         functype[155]=LJ_SR, c6= 4.37899434e-04, c12= 3.19008478e-07
         functype[156]=LJ_SR, c6= 4.37085750e-03, c12= 7.78506819e-06
         functype[157]=LJ_SR, c6= 2.27766286e-04, c12= 8.43583692e-08
         functype[158]=LJ_SR, c6= 7.65221412e-05, c12= 9.52189794e-09
         functype[159]=LJ_SR, c6= 2.99904449e-03, c12= 3.75042441e-06
         functype[160]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[161]=LJ_SR, c6= 3.74372641e-04, c12= 5.42584075e-07
         functype[162]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[163]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[164]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[165]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[166]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[167]=LJ_SR, c6= 2.32490594e-03, c12= 2.40325721e-06
         functype[168]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[169]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[170]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[171]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[172]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[173]=LJ_SR, c6= 2.63297977e-03, c12= 1.97065583e-06
         functype[174]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[175]=LJ_SR, c6= 4.61784564e-03, c12= 5.56093164e-06
         functype[176]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
         functype[177]=LJ_SR, c6= 4.67791950e-04, c12= 2.27716413e-07
         functype[178]=LJ_SR, c6= 2.32490594e-03, c12= 2.40325721e-06
         functype[179]=LJ_SR, c6= 2.36347318e-03, c12= 1.58938974e-06
         functype[180]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[181]=LJ_SR, c6= 3.85424675e-04, c12= 1.54585194e-07
         functype[182]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[183]=LJ_SR, c6= 4.61784564e-03, c12= 5.56093164e-06
         functype[184]=LJ_SR, c6= 2.12945597e-04, c12= 4.71874166e-08
         functype[185]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[186]=LJ_SR, c6= 3.09149269e-03, c12= 2.55029636e-06
         functype[187]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[188]=LJ_SR, c6= 3.89968336e-04, c12= 3.76753320e-07
         functype[189]=LJ_SR, c6= 2.83348933e-03, c12= 2.53896906e-06
         functype[190]=LJ_SR, c6= 6.42265586e-05, c12= 4.29257740e-09
         functype[191]=LJ_SR, c6= 2.62219529e-03, c12= 2.71056524e-06
